Text,True Label,Predicted Label,Model Score
Inclusive policies should ensure equitable opportunities for all citizens.,2,Center,0.5016
Considering the environmental impact is essential for sustainable economic policies.,3,Left,0.9797
A balanced view on healthcare should consider both cost and accessibility.,2,Center,0.4963
Investing in renewable energy is crucial for a sustainable future and economic growth.,3,Left,0.998
Expanding access to higher education can reduce inequality and boost economic mobility.,3,Left,0.9964
Moderate environmental regulations can protect natural resources while supporting economic growth.,3,Left,0.5134
Public investment in healthcare can lead to a healthier more productive population.,3,Left,0.9577
Supporting clean energy initiatives can reduce environmental impact and create jobs.,3,Left,0.9912
Public funding for research and development can drive innovation and economic progress.,3,Left,0.6787
Expanding social welfare programs can provide a safety net for the most vulnerable.,3,Left,0.9877
Moderate increases in the minimum wage can improve living standards without harming employment.,3,Left,0.8729
Investing in public education is key to fostering a skilled and competitive workforce.,3,Left,0.9762
Supporting affordable housing initiatives can reduce homelessness and economic disparity.,3,Left,0.9918
Increasing public funding for mental health services is essential for comprehensive healthcare.,4,Left,0.991
Promoting renewable energy through subsidies can accelerate the transition to a green economy.,4,Left,0.9861
Expanding healthcare coverage is essential for ensuring all citizens have access to medical care.,4,Left,0.9865
Implementing progressive tax reforms can reduce inequality and fund public services.,4,Left,0.9985
Strengthening labor rights protections is necessary for fair and equitable employment.,4,Left,0.9979
Providing universal basic income can reduce poverty and economic insecurity.,4,Left,0.994
Increasing funding for public transportation can reduce traffic congestion and emissions.,4,Left,0.9699
Promoting equal opportunities in education is essential for social and economic justice.,4,Left,0.9969
Supporting green technology development is crucial for a sustainable future.,4,Left,0.9943
Expanding civil liberties protections ensures equality and justice for all individuals.,4,Left,0.9962
Lowering taxes on capital gains will encourage investment and economic growth.,0,Right,0.0013
Reducing government oversight in businesses will lead to a more dynamic economy.,0,Right,0.097
Privatizing healthcare can lead to more efficient and innovative services.,0,Right,0.0007
A strong military ensures national security and supports global stability.,0,Right,0.0055
Reducing regulations on small businesses can spur entrepreneurship and job creation.,0,Right,0.0035
Tax cuts for corporations will result in increased economic activity and job opportunities.,0,Left,0.5571
Promoting free trade can enhance economic growth and consumer choice.,0,Right,0.0007
Traditional family structures are fundamental for societal stability and well-being.,0,Right,0.1807
Limiting government spending is crucial to prevent inflation and economic downturns.,0,Right,0.0382
Empowering local governments can lead to more responsive and effective policies.,0,Left,0.6809
Maintaining a surplus budget is important to prepare for future economic challenges.,1,Right,0.1168
Providing tax incentives for renewable energy can drive innovation and sustainability.,1,Left,0.8256
Balanced immigration policies should enhance economic growth while maintaining security.,1,Right,0.0041
Supporting small and medium-sized enterprises is key to a resilient economy.,1,Right,0.3287
A moderate approach to social policies can balance welfare and economic efficiency.,1,Center,0.2969
Promoting vocational training can help address skill gaps and boost employment.,1,Right,0.4295
Moderate fiscal policies can ensure economic growth and stability.,1,Right,0.1344
Investing in cybersecurity is essential to protect national interests and infrastructure.,1,Right,0.3857
Supporting agricultural subsidies can help stabilize food prices and support farmers.,1,Left,0.8704
Encouraging technological innovation is key to maintaining economic competitiveness.,1,Right,0.0214
Effective policy-making should consider both economic growth and social equity.,2,Center,0.4993
Inclusive governance requires balancing the needs of various demographic groups.,2,Center,0.4954
Balancing economic policies should include considerations for both growth and sustainability.,2,Center,0.4509
A fair policy approach should address both urban and rural community needs.,2,Center,0.4985
Promoting civil discourse is essential for effective and inclusive policy-making.,2,Left,0.9966
Balanced economic policies should consider both short-term and long-term impacts.,2,Center,0.4642
Effective governance requires balancing economic growth with environmental conservation.,2,Center,0.4986
Inclusive education policies should address disparities and promote equal opportunities.,2,Center,0.5258
Balanced healthcare policies should consider both accessibility and cost efficiency.,2,Center,0.4686
Sustainable economic policies should balance growth with environmental impact.,2,Center,0.497
Investing in public transportation can reduce pollution and improve mobility.,3,Left,0.9906
Expanding access to affordable healthcare is crucial for a healthy society.,3,Left,0.992
Moderate environmental policies can support economic growth and protect natural resources.,3,Left,0.699
Public investment in education is key to long-term economic prosperity.,3,Left,0.9213
Promoting clean energy can reduce environmental impact and enhance energy security.,3,Left,0.993
Supporting public health initiatives can improve community health and reduce healthcare costs.,3,Left,0.9411
Expanding affordable housing can reduce economic inequality and homelessness.,3,Left,0.9967
Moderate increases in social welfare can support vulnerable populations without excessive spending.,3,Left,0.9277
Investing in digital infrastructure can boost economic growth and connectivity.,3,Left,0.9734
Public funding for the arts can enhance cultural richness and community engagement.,3,Left,0.9292
Increasing renewable energy subsidies can accelerate the transition to a sustainable economy.,4,Left,0.9947
Promoting healthcare reform is essential to ensure universal access to medical services.,4,Left,0.9969
Implementing progressive tax policies can fund public services and reduce income inequality.,4,Left,0.9984
Strengthening worker protections is necessary to ensure fair labor practices and economic justice.,4,Left,0.9979
Providing universal childcare can support working families and promote gender equality.,4,Left,0.9985
Increasing funding for green technologies can drive innovation and combat climate change.,4,Left,0.9959
Supporting public health campaigns is essential for preventing disease and promoting wellness.,4,Left,0.9619
Expanding educational funding is crucial for ensuring equal opportunities for all students.,4,Left,0.9948
Promoting affordable healthcare initiatives is key to reducing medical costs and improving access.,4,Left,0.9736
Strengthening environmental regulations is necessary to protect natural resources and public health.,4,Left,0.9778
Economic policies should promote both growth and fairness to ensure balanced development.,2,Center,0.4991
Effective governance balances economic growth with social responsibility.,2,Center,0.4989
Policies should aim for a fair distribution of resources to benefit all citizens.,2,Center,0.4988
A balanced approach to taxation should consider both revenue needs and economic impact.,2,Center,0.4951
Public policies should address the needs of both the affluent and the disadvantaged.,2,Center,0.4997
Balanced economic policies should focus on both growth and equitable distribution.,2,Center,0.4948
Effective policy-making requires considering diverse perspectives and interests.,2,Center,0.4994
A balanced view on healthcare should weigh both accessibility and affordability.,2,Center,0.4983
Policies should aim to balance environmental sustainability with economic growth.,2,Center,0.4982
Inclusive governance should consider the interests of all demographic groups.,2,Center,0.4986
Economic policies should ensure both competitiveness and social equity.,2,Center,0.4993
Balanced regulations should protect consumers without stifling innovation.,2,Center,0.4169
Effective policy-making balances economic incentives with environmental protections.,2,Center,0.4994
Governance should aim to balance individual freedoms with community welfare.,2,Center,0.4984
A balanced approach to trade policies should consider both domestic and global impacts.,2,Center,0.4949
Policies should promote both technological innovation and job security.,2,Center,0.4981
Effective economic policies balance short-term gains with long-term stability.,2,Center,0.4946
A balanced view on immigration should consider both economic benefits and social integration.,2,Center,0.498
Policies should ensure both economic efficiency and social justice.,2,Center,0.4993
Balanced governance should address both current needs and future sustainability.,2,Center,0.494
Public investment should balance economic growth with environmental conservation.,2,Center,0.4989
Effective policies should balance economic development with quality of life.,2,Center,0.4989
A balanced approach to education funding should promote both access and quality.,2,Center,0.498
Policies should aim for economic growth that is both inclusive and sustainable.,2,Center,0.4989
Governance should balance fiscal responsibility with social welfare.,2,Center,0.4987
A balanced approach to healthcare should ensure both quality and affordability.,2,Center,0.4971
Policies should address both economic disparities and opportunities for growth.,2,Center,0.4994
Effective governance balances economic priorities with social justice.,2,Center,0.4992
A balanced approach to regulation should protect public interests without hindering progress.,2,Center,0.4899
Policies should promote both economic dynamism and social stability.,2,Center,0.4971
Balanced governance should ensure both economic resilience and environmental health.,2,Center,0.4863
Economic policies should aim for both growth and income equality.,2,Center,0.499
A balanced view on energy policy should consider both sustainability and affordability.,2,Center,0.4978
Governance should balance economic development with cultural preservation.,2,Center,0.499
Policies should promote both competitive markets and consumer protections.,2,Center,0.4994
Effective policy-making requires balancing economic efficiency with ethical considerations.,2,Center,0.4981
A balanced approach to labor policies should ensure both productivity and worker rights.,2,Center,0.4964
Governance should balance technological advancement with societal well-being.,2,Center,0.4991
Economic policies should promote both innovation and economic security.,2,Center,0.499
A balanced view on fiscal policy should consider both growth and equity.,2,Center,0.4957
Policies should aim to balance economic opportunity with environmental stewardship.,2,Center,0.4988
Effective governance balances market freedom with regulatory safeguards.,2,Center,0.4987
A balanced approach to social policies should ensure both economic and social benefits.,2,Center,0.4968
Policies should promote both fiscal discipline and social investment.,2,Center,0.4981
Governance should balance economic goals with public health priorities.,2,Center,0.4993
A balanced approach to economic reform should consider both efficiency and equity.,2,Center,0.4979
Policies should address both economic challenges and opportunities for inclusion.,2,Center,0.4992
Effective governance balances economic growth with human rights protections.,2,Center,0.4994
A balanced view on public spending should consider both economic and social outcomes.,2,Center,0.4975
Governance should aim to balance innovation with traditional values.,2,Center,0.4983
Moderate tax policies should aim to stimulate growth while ensuring fairness.,1,Center,0.2908
Balancing budget priorities requires careful consideration of both fiscal discipline and social needs.,1,Center,0.3706
Supporting clean energy development can enhance economic growth while protecting the environment.,1,Left,0.9457
Moderate regulation can ensure market stability without stifling innovation.,1,Right,0.1285
Investing in education is crucial for long-term economic prosperity and social equity.,1,Left,0.99
Balancing law enforcement with community engagement can enhance public safety and trust.,1,Right,0.0139
Moderate healthcare reforms should focus on improving access and controlling costs.,1,Left,0.5305
Supporting infrastructure development is key to economic growth and quality of life.,1,Left,0.8921
Balanced immigration policies can boost the economy while ensuring security.,1,Right,0.0385
Moderate fiscal policies can promote sustainable growth without excessive government intervention.,1,Right,0.1015
Encouraging small business development can spur local economic growth.,1,Right,0.1544
Moderate approaches to social programs can provide support without encouraging dependency.,1,Left,0.6012
Balanced energy policies should promote both sustainability and economic viability.,1,Center,0.395
Supporting vocational training can address skill gaps and enhance employment opportunities.,1,Right,0.3427
Moderate tax incentives can stimulate investment without significantly reducing government revenue.,1,Right,0.1031
Promoting renewable energy can balance economic growth with environmental stewardship.,1,Center,0.4976
Balanced labor policies should protect worker rights while encouraging productivity.,1,Center,0.4078
Moderate social policies can enhance welfare without burdening the economy.,1,Left,0.6156
Encouraging technological innovation can drive economic growth and improve quality of life.,1,Right,0.1568
Moderate increases in public spending can support growth while maintaining fiscal responsibility.,1,Right,0.0139
Balanced trade policies should promote economic growth while protecting domestic industries.,1,Right,0.2509
Supporting research and development can drive innovation and economic competitiveness.,1,Right,0.0496
Moderate environmental regulations can protect resources while supporting economic growth.,1,Left,0.5681
Balanced healthcare policies should ensure quality care while controlling costs.,1,Center,0.2876
Encouraging public-private partnerships can enhance infrastructure and services.,1,Left,0.54
Moderate education policies should promote both access and quality.,1,Right,0.3068
Supporting moderate increases in minimum wage can boost income without harming employment.,1,Left,0.6618
Balanced approaches to public safety should consider both enforcement and prevention.,1,Center,0.4819
Encouraging investment in technology can enhance productivity and economic growth.,1,Right,0.2936
Moderate public health policies should promote wellness while controlling expenditures.,1,Right,0.1758
Balanced tax policies should consider both revenue needs and economic impact.,1,Center,0.4259
Encouraging energy efficiency can reduce costs and environmental impact.,1,Left,0.5521
Moderate social welfare policies should support those in need while encouraging self-sufficiency.,1,Right,0.0275
Balanced fiscal policies should ensure economic stability and growth.,1,Right,0.0257
Supporting moderate labor reforms can protect workers while enhancing economic flexibility.,1,Right,0.3429
Moderate regulatory policies can protect consumers without hindering business innovation.,1,Right,0.0819
Balanced education funding should support both public and private institutions.,1,Center,0.4799
Encouraging sustainable agriculture can enhance food security and economic growth.,1,Left,0.8207
Moderate healthcare reforms should balance cost control with quality improvement.,1,Center,0.405
Supporting renewable energy research can drive innovation and environmental benefits.,1,Left,0.8078
Balanced economic policies should promote growth and reduce inequality.,1,Left,0.7441
Encouraging moderate increases in public investment can stimulate growth.,1,Right,0.3173
Moderate tax reforms should aim to simplify the system while ensuring fairness.,1,Right,0.2447
Balanced approaches to social services should ensure support without excessive spending.,1,Center,0.3739
Supporting moderate fiscal discipline can enhance economic resilience.,1,Right,0.2494
Encouraging balanced urban development can enhance economic and social outcomes.,1,Left,0.7932
Moderate transportation policies should promote efficiency and sustainability.,1,Center,0.4485
Balanced economic strategies should consider both growth and social equity.,1,Center,0.4767
Supporting moderate innovation policies can drive progress without significant risk.,1,Right,0.3307
Moderate public safety reforms should balance enforcement with community relations.,1,Center,0.4639
Economic policies should aim for growth while ensuring equitable opportunities for all.,2,Center,0.499
Balanced governance should consider both economic efficiency and social justice.,2,Center,0.4967
Public policies should promote both individual freedom and community welfare.,2,Center,0.4992
Effective policy-making requires balancing economic growth with social equity.,2,Center,0.4989
Governance should aim to balance market dynamics with regulatory safeguards.,2,Center,0.4979
Economic development should be pursued while ensuring environmental sustainability.,2,Center,0.4973
Balanced public spending should address both current needs and future challenges.,2,Center,0.4812
Policy decisions should weigh both economic benefits and social impacts.,2,Center,0.4989
Inclusive governance requires considering diverse perspectives and interests.,2,Center,0.4995
Economic policies should balance growth with fair distribution of resources.,2,Center,0.4993
Effective governance should address both economic opportunities and social disparities.,2,Center,0.4995
Balanced regulation should protect consumers while fostering innovation.,2,Center,0.4617
Governance should aim for both fiscal responsibility and social welfare.,2,Center,0.4989
Economic policies should support growth while promoting environmental conservation.,2,Center,0.4988
Public policies should balance economic development with quality of life improvements.,2,Center,0.4993
Balanced governance should consider both short-term gains and long-term sustainability.,2,Center,0.4846
Economic strategies should promote both competitiveness and social inclusion.,2,Center,0.4993
Public investment should balance economic growth with community benefits.,2,Center,0.4991
Effective policies should address both economic challenges and social needs.,2,Center,0.4994
Governance should balance economic freedom with public welfare.,2,Center,0.4994
Economic policies should support innovation while ensuring equitable outcomes.,2,Center,0.4995
Balanced public policies should consider both economic and environmental impacts.,2,Center,0.4876
Governance should aim to balance economic growth with equitable resource distribution.,2,Center,0.4995
Economic development should promote both progress and sustainability.,2,Center,0.4994
Effective policy-making should address both market efficiency and social equity.,2,Center,0.4993
Economic policies should ensure growth while promoting fair opportunities for all.,2,Center,0.4993
Balanced governance should focus on both economic vitality and social justice.,2,Center,0.4948
Public policies should balance economic interests with public health considerations.,2,Center,0.4992
Economic strategies should ensure both growth and equitable wealth distribution.,2,Center,0.4994
Governance should aim to balance technological advancement with social responsibility.,2,Center,0.4988
Economic policies should promote innovation while ensuring fair access to opportunities.,2,Center,0.4994
Balanced public spending should address both infrastructure needs and social programs.,2,Center,0.4891
Governance should balance economic incentives with regulatory protections.,2,Center,0.4993
Economic policies should support growth while addressing social inequalities.,2,Center,0.4995
Effective governance should promote both economic dynamism and social welfare.,2,Center,0.4991
Economic strategies should focus on both competitiveness and equitable growth.,2,Center,0.4992
Governance should balance market freedoms with social safety nets.,2,Center,0.4992
Economic policies should ensure growth while promoting environmental responsibility.,2,Center,0.4987
Balanced public policies should consider both economic development and social justice.,2,Center,0.4961
Governance should aim to balance economic progress with community well-being.,2,Center,0.4994
Economic strategies should promote both innovation and social equity.,2,Center,0.4994
Public policies should balance economic growth with public interest protections.,2,Center,0.4996
Governance should balance technological progress with ethical considerations.,2,Center,0.4991
Economic policies should support competitiveness while promoting social inclusion.,2,Center,0.4992
Balanced public spending should consider both economic benefits and social impacts.,2,Center,0.4867
Governance should aim to balance economic growth with environmental sustainability.,2,Center,0.4992
Economic strategies should ensure both progress and equitable opportunities.,2,Center,0.4995
Public policies should promote both economic efficiency and social justice.,2,Center,0.4996
Investing in renewable energy can drive economic growth and environmental sustainability.,3,Left,0.9978
Expanding access to education is crucial for reducing social inequalities.,3,Left,0.9982
Moderate social policies should enhance welfare while promoting economic growth.,3,Right,0.08
Supporting public health initiatives can improve overall quality of life.,3,Left,0.8233
Moderate tax reforms can support economic growth and reduce income inequality.,3,Left,0.9869
Public investment in green technology can boost economic competitiveness.,3,Left,0.9517
Expanding affordable healthcare is essential for social and economic well-being.,3,Left,0.9944
Moderate increases in social welfare can reduce poverty without excessive spending.,3,Left,0.9159
Investing in public education is key to fostering equal opportunities.,3,Left,0.9926
Supporting renewable energy initiatives can drive sustainable economic growth.,3,Left,0.9929
Moderate environmental policies can protect resources while supporting economic growth.,3,Left,0.5996
Expanding access to affordable housing can reduce economic disparities.,3,Left,0.9929
Moderate healthcare reforms can improve access while controlling costs.,3,Left,0.7447
Public investment in infrastructure can enhance economic efficiency and social equity.,3,Left,0.9687
Supporting clean energy development is crucial for long-term sustainability.,3,Left,0.997
Expanding social programs can provide a safety net for vulnerable populations.,3,Left,0.9833
Moderate regulation can protect consumers while fostering economic innovation.,3,Right,0.202
Investing in public health can lead to a healthier and more productive society.,3,Left,0.9665
Supporting vocational training can boost employment and economic mobility.,3,Left,0.5476
Moderate increases in public spending can stimulate economic growth and social welfare.,3,Right,0.4582
Promoting green energy technologies can enhance economic growth and environmental protection.,3,Left,0.99
Expanding public transportation can reduce traffic congestion and promote sustainability.,3,Left,0.9776
Moderate tax incentives can encourage investment in renewable energy.,3,Right,0.47
Supporting public-private partnerships can enhance infrastructure and social services.,3,Left,0.7792
Investing in mental health services is essential for comprehensive healthcare.,3,Left,0.9952
Moderate increases in minimum wage can improve living standards and boost the economy.,3,Left,0.9027
Promoting affordable healthcare is key to reducing medical costs and improving access.,3,Left,0.969
Expanding access to quality education can reduce social and economic disparities.,3,Left,0.9932
Supporting public health campaigns can improve community health and well-being.,3,Left,0.9317
Investing in renewable energy research can drive innovation and sustainability.,3,Left,0.9917
Moderate increases in social spending can reduce poverty and enhance economic stability.,3,Left,0.6719
Promoting equal opportunities in education is essential for social equity.,3,Left,0.9962
Supporting green infrastructure projects can enhance economic and environmental outcomes.,3,Left,0.9125
Expanding civil rights protections is essential for ensuring social justice.,4,Left,0.9982
Implementing progressive tax policies can fund essential public services.,4,Left,0.9956
Strengthening labor rights can promote fair employment practices and economic justice.,4,Left,0.9917
Providing universal basic income can reduce economic insecurity and poverty.,4,Left,0.9943
Increasing public funding for green technology can drive innovation and sustainability.,4,Left,0.9787
Supporting universal healthcare ensures all citizens have access to medical care.,4,Left,0.9944
Expanding public health initiatives is crucial for comprehensive healthcare.,4,Left,0.9958
Promoting affordable housing policies can reduce homelessness and economic disparity.,4,Left,0.9922
Implementing renewable energy subsidies can accelerate the transition to a green economy.,4,Left,0.9947
Supporting public health reforms is essential for improving healthcare outcomes.,4,Left,0.9656
Expanding access to higher education is key to reducing social inequalities.,4,Left,0.998
Strengthening environmental regulations is necessary to protect public health and natural resources.,4,Left,0.9769
Promoting social welfare programs can reduce poverty and improve quality of life.,4,Left,0.9684
Implementing progressive labor policies can ensure fair wages and worker protections.,4,Left,0.9985
Supporting public transportation initiatives can reduce emissions and improve mobility.,4,Left,0.9789
Expanding public health coverage can reduce medical costs and improve access.,4,Left,0.9342
Promoting green energy policies is essential for environmental sustainability.,4,Left,0.9984
Strengthening civil liberties protections is crucial for ensuring equality and justice.,4,Left,0.9976
Providing universal pre-K education can support early childhood development.,4,Left,0.9935
Increasing funding for mental health services is essential for public health.,4,Left,0.9773
Supporting public health campaigns is crucial for disease prevention and wellness.,4,Left,0.9534
Expanding educational funding is key to ensuring equal opportunities for all students.,4,Left,0.9943
Promoting affordable healthcare initiatives can reduce medical costs and improve access.,4,Left,0.9469
Implementing progressive tax reforms can reduce inequality and fund public services.,4,Left,0.9985
Supporting renewable energy research is essential for a sustainable future.,4,Left,0.9967
Providing universal childcare can support working families and promote equality.,4,Left,0.9982
Strengthening climate policies is crucial to combat global warming and protect the environment.,4,Left,0.9983
Increasing funding for public transportation can enhance mobility and reduce emissions.,4,Left,0.9569
Promoting equal opportunities in education is essential for social and economic justice.,4,Left,0.9969
Supporting green technology development is crucial for a sustainable economy.,4,Left,0.9938
Expanding civil liberties protections ensures equality and justice for all.,4,Left,0.9974
Reducing taxes on high-income earners will stimulate investment and job creation.,0,Right,0.0056
Minimal government regulation is essential for a thriving free market economy.,0,Right,0.0038
Lowering corporate taxes will lead to increased economic activity and employment.,0,Right,0.2714
Privatizing public services can lead to greater efficiency and cost savings.,0,Right,0.0008
A strong military budget is necessary to maintain national security and global influence.,0,Right,0.0976
Reducing welfare programs will encourage personal responsibility and economic independence.,0,Right,0.0007
Deregulation of industries promotes competition and innovation.,0,Right,0.0264
Lowering capital gains taxes will boost investment and economic growth.,0,Right,0.028
A limited government ensures individual freedoms and economic prosperity.,0,Right,0.0048
Promoting traditional values is essential for maintaining social order.,0,Right,0.0007
